Question;Answer;
What is Islam, and what does the word ' Islam ' mean ?;"Islam is God's eternal message to mankind. Islam originated by our father Adam (as )  and then the torch was passed on to other God's elect messengers. Islam's message was, still and will be the belief in and submission to ONE God (swt ) , the Creator and the Sustainer of all things, the Exalted and the Redeemer of all things. The word Islam itself means ""submission and surrendering"" to God (swt ) . ";
What is the deal with the term ' Mohammadeen ' , ' Muhammadanism ' or Muhammadans in Islam ?;"There are no such terms at all. Other religions have been named after their founders or after the community in which the religion was prospered. For example, Christianity has been named after Christ. Judaism after the tribe of Judah, and Buddhism after Buddha. Westerners falsely gave the name ""Muhammadanism"" or Mohammadeen"" to Islam after Mohammad (pbuh )  the prophet of Islam, and also called his followers ""Muhammadans"". Islam and Muslims are the words of the QURAN (27:31 ) , (3:19 )  & (22:78 ) . Again, Islam is God's eternal message to mankind that originated by Adam (as )  and sealed by prophet Mohammad (pbuh ) . ";
I heard something about the 5 pillars of Islam and the 5 pillars of faith. Could you elaborate more on these pillars ?;"You are right! Islam has two different types of pillars: The pillars of Islam and the pillars of faith in Islam. The 5 pillars of Islam are: "Al-Shahadatan" the testimony that there is no God but Allah and Mohammad is Messenger of Allah, performing prayer (Salah ) , giving Alms (Zakah ) , fasting (Sawm ) , and performing Pilgrimage (Hajj )  for those who are able.  The 5 pillars of Faith in Islam are: The belief in One God, Allah (swt ) , the belief in His Angels, the belief in His Scriptures, the belief in His Messengers, and the belief in Judgment Day";
Is it really sensible that God will reward Heaven only to Muslims and punish others that can easily add up to millions or even billions of people of various religions ?;Yes it is very sensible. If you read both the Bible and the Quran you will uncover that God (swt )  severely punished the unbelievers and the wicked people through out the history of mankind. That includes the people of Prophet Noah (as ) , the people of Prophet Abraham (as ) , Lot, Moses (as ) , etc... Numbers don't mean a thing in the eyes of God (swt )  and that shouldn't be considered as an exception at all. Only faith counts and not numbers. ;
What does Islam say about Satan ?;Satan (Shaytan in Arabic )  is believed to be a third type of creation, in addition to humans and angels, known as a “jinn.” Humans are said to have been made from clay, angels from light, and jinn from fire. While the Quran teaches that some jinn are good and submit to God, it states that others, such as Iblis or Shaytan (Satan ) , try to tempt people to do evil, as in the belief about Satan in traditional Christian theology;
What do Muslims believe about Mary;Muslims generally believe that she is the Virgin Mother of the Prophet Jesus. An entire chapter in the Quran is named after her. The chapter called Mary (Maryam in Arabic )  and other verses in the Quran emphasize her piety, righteousness, and status as an exemplar for all people, male and female;
What are the different kinds of prayer that Muslims practice;Prayer among Muslims can take many forms. Three very common forms are Salat (ritual prayer ) , Dhikr (remembrance of God, which usually involves the repetition of God’s names ) , and Du’a (supplication, or asking God for a need or desire or for forgiveness ) ;
How long does each prayer ( Salat )    take;Each prayer (Salat )  lasts 5 to10 minutes, depending on the prescribed length of the prayer and the number and length of Quranic verses recited. Other factors may also influence the length of time a Muslim prays, including the number of additional (non-obligatory )  prayers one chooses to perform, and the pace at which one recites the Quran.;
What is the meaning of the word 'Quran' ? ;That which is Read.;
Where was the Quran revealed first ? ;In the cave of Hira (Makkah ) ;
On which night was the Quran first revealed ? ;Lailatul-Qadr (Night of the Power ) ;
Who revealed the Quran ? ;Allah revealed the Quran;
Through whom was the Quran revealed ? ;Through Angel Jibraeel (Alaihis-Salaam )  ;
To whom was the Quran revealed ? ;To the last Prophet Muhammad (Sallahu Alaihi Wasallam )  ;
Who took the responsibility of keeping the Quran safe ? ;Allah himself ;
What are the conditions for holding or touching the Quran ? ;One has to be clean and to be with wudhu (ablution )  ;
What are the other names of the Quran according to the Quran itself ? ;Al-Furqaan, Al-Kitaab, Al-Zikr, Al-Noor, Al-Huda ;
How many Makki Surahs ( chapters )    are there in the Quran ? ;86;
How many Madani Surahs ( chapters )    are there in the Quran ? ;28 ;
How many Manzils ( stages )    are there in the Quran ? ;7 ;
How many Paara or Juz ( parts )    are there in the Quran ? ;30 ;
How many Surahs ( chapters )    are there in the Quran ? ;114 ;
How many Rukoo ( paragraphs )    are there in the Quran ? ;540;
How many Aayaath ( verses )    are there in the Quran ? ;6666 ;
How many times is the word ''Allah'' repeated in the Quran ? ;2698;
How many different types of Aayaath ( verses )    are there in the Quran ? ;10;
Who is the first ''Haafiz'' of the Quran ? ;Prophet Muhammad (Sallalahu Alaihi Wasallam ) ;
At the time of the death of Prophet Muhammad ( Sallallahu Alaihi Wasallam )    how many Huffaz were there ? ;22 ;
How many Aayaaths ( verses )    on Sajda ( prostation )    are there in the Quran ? ;14;
In which Paara ( part )    and Surah ( chapter )    do you find the first verse about Sajda ( prostation ) ? ;The 9th Paara, 7th Chapter-Surah-al-Araaf, Verse206;
